,price,pe1,pb1,pe2,pb2,pe3,pb3,pe4,pb4
2020-07-23,1494.14,86.39,8.38,76.47,6.2,91.98,6.91,122.49,9.09
2020-07-24,1389.31,80.83,7.84,70.67,5.72,83.67,6.23,113.86,8.41
2020-07-27,1374.52,79.77,7.74,70.21,5.67,82.34,6.14,111.77,8.32
2020-07-28,1400.54,81.08,7.87,71.26,5.76,83.03,6.25,113.13,8.44
2020-07-29,1476.92,85.21,8.27,74.55,6.03,87.56,6.63,119.86,8.95
2020-07-30,1472.79,84.95,8.25,74.08,5.99,90.77,6.7,120.25,8.96
2020-07-31,1512.98,86.94,8.44,75.03,6.07,90.36,6.99,124.18,9.19
2020-08-03,1622.81,92.92,9.02,79.53,6.43,100.01,7.4,133.76,9.78
2020-08-04,1566.06,89.71,8.71,78.09,6.31,97.48,7.18,128.42,9.49
2020-08-05,1588.62,91.28,8.86,79.55,6.42,98.94,7.39,129.64,9.61
2020-08-06,1573.87,90.35,8.77,79.23,6.39,100.63,7.38,128.15,9.53
2020-08-07,1526.8,87.38,8.47,77.44,6.26,97.57,7.32,124.16,9.24
2020-08-10,1535.6,88.03,8.54,77.62,6.26,95.1,7.2,125.52,9.27
2020-08-11,1491.84,85.51,8.29,75.53,6.08,93.76,7.04,121.36,8.98
2020-08-12,1458.64,83.26,8.1,73.6,5.98,89.19,6.85,119.79,8.75
2020-08-13,1468.23,83.54,8.13,75.01,6.08,92.53,6.96,120.29,8.81
2020-08-14,1484.04,83.97,8.18,75.69,6.15,95.36,7.06,120.72,8.88
2020-08-17,1496.4,83.79,8.21,76.59,6.23,94.07,7.15,121.69,8.94
2020-08-18,1512.51,84.9,8.29,77.3,6.26,98.44,7.13,123.82,9.01
2020-08-19,1472.02,81.96,8.07,75.57,6.11,96.09,6.96,117.81,8.73
2020-08-20,1442.58,80.74,7.91,75.01,6.03,93.45,6.72,116.67,8.55
2020-08-21,1447.71,81.54,7.95,76.55,6.01,90.78,6.91,116.17,8.56
2020-08-24,1450.67,81.6,7.96,76.98,6.04,95.38,7.01,116.38,8.56
