,price,pe1,pb1,pe2,pb2,pe3,pb3,pe4,pb4
2015-06-16,9954.64,26.78,3.28,50.96,4.86,50.24,5.77,78.84,6.29
2015-06-17,10256.96,27.71,3.4,52.19,4.98,51.24,5.95,80.21,6.4
2015-06-18,9844.94,26.98,3.25,50.98,4.83,49.96,5.94,77.61,6.25
2015-06-19,9023.34,24.6,2.96,46.91,4.43,46.49,5.78,70.89,5.78
2015-06-23,9161.32,25.12,3.02,47.54,4.46,47.32,5.7,71.01,5.76
2015-06-24,9357.11,25.63,3.09,48.51,4.57,48.48,5.88,72.88,5.88
2015-06-25,8951.1,24.46,2.94,46.39,4.36,49.44,5.39,69.84,5.62
2015-06-26,8229.37,22.79,2.74,42.74,3.99,44.49,4.85,63.71,5.15
2015-06-29,7742.71,21.8,2.63,40.22,3.73,41.67,4.42,58.57,4.79
2015-06-30,8276.75,23.29,2.81,42.92,3.97,43.71,4.64,61.99,5.03
2015-07-01,7682.18,21.51,2.59,40.09,3.68,39.34,4.26,57.71,4.69
2015-07-02,7224.12,20.21,2.43,37.47,3.42,37.8,4.0,53.1,4.39
2015-07-03,6651.09,18.52,2.23,34.42,3.12,37.8,3.6,48.97,4.08
2015-07-06,6756.57,19.18,2.31,34.34,3.05,35.7,3.24,47.27,3.95
2015-07-07,6775.49,19.88,2.4,33.04,2.89,32.13,2.96,44.43,3.75
2015-07-08,6460.95,19.14,2.31,31.38,2.73,31.47,2.75,41.97,3.64
2015-07-09,6950.09,20.77,2.5,33.67,2.92,32.48,3.01,44.58,3.8
2015-07-10,7510.61,22.52,2.71,36.18,3.13,33.66,3.31,47.77,4.01
2015-07-13,7896.76,23.39,2.82,38.48,3.34,37.03,3.58,51.34,4.25
2015-07-14,7608.16,22.25,2.64,38.27,3.35,37.8,3.52,53.44,4.32
2015-07-15,7169.3,21.19,2.51,35.84,3.15,34.79,3.24,49.62,4.06
2015-07-16,7272.83,21.73,2.54,36.58,3.2,34.86,3.34,50.76,4.1
2015-07-17,7648.97,22.76,2.66,38.63,3.4,37.05,3.67,54.05,4.32
2015-07-20,7839.25,23.26,2.72,39.53,3.5,36.45,3.77,54.99,4.43
2015-07-21,8022.69,24.04,2.81,40.05,3.57,37.04,3.84,55.92,4.53
2015-07-22,7971.98,23.71,2.77,39.99,3.59,37.05,3.81,56.75,4.57
2015-07-23,8161.61,24.14,2.82,41.13,3.71,38.0,3.97,58.2,4.71
2015-07-24,8041.18,23.73,2.77,40.54,3.65,38.33,3.83,56.93,4.62
2015-07-27,7294.25,21.46,2.51,36.93,3.32,35.8,3.45,52.2,4.23
2015-07-28,6953.88,20.34,2.38,35.48,3.17,35.34,3.24,49.75,4.03
2015-07-29,7383.81,21.65,2.53,37.59,3.37,36.31,3.5,53.05,4.24
2015-07-30,7145.61,20.84,2.44,36.42,3.27,35.52,3.5,52.43,4.16
2015-07-31,7191.02,21.1,2.47,36.4,3.26,34.86,3.46,52.76,4.16
2015-08-03,7116.83,21.06,2.46,35.93,3.18,31.05,3.42,33.72,4.03
2015-08-04,7463.32,21.93,2.56,37.91,3.36,34.16,3.69,35.78,4.26
2015-08-05,7468.56,21.97,2.56,37.8,3.35,34.3,3.7,36.4,4.24
2015-08-06,7297.34,21.33,2.49,37.09,3.29,35.74,3.71,34.98,4.18
2015-08-07,7460.42,21.78,2.54,37.98,3.39,36.53,3.8,34.52,4.3
2015-08-10,8015.94,23.6,2.75,40.76,3.61,38.76,4.09,37.41,4.54
2015-08-11,7922.01,23.25,2.71,40.48,3.6,38.32,4.01,36.67,4.53
2015-08-12,7956.54,23.43,2.73,40.42,3.6,37.69,4.06,36.97,4.54
2015-08-13,8146.98,23.87,2.78,41.35,3.7,39.22,4.13,38.58,4.68
2015-08-14,8176.95,23.94,2.79,41.43,3.73,39.56,4.14,38.08,4.78
2015-08-17,8230.06,23.89,2.79,42.13,3.82,39.31,4.31,39.59,4.91
