date,cash,total_value,market_value,unit_net_value,units,static_unit_net_value
2020-06-01,1511.0985,9998400.4977,9996889.3992,0.99984,10000000.0,1.0
2020-06-02,1511.0985,9938474.4609,9936963.3624,0.993847,10000000.0,0.9998
2020-06-03,1511.0985,9928428.5793,9926917.4808,0.992843,10000000.0,0.9938
2020-06-04,1511.0985,9966725.9553,9965214.8568,0.996673,10000000.0,0.9928
2020-06-05,1511.0985,10036160.5617,10034649.4632,1.003616,10000000.0,0.9967
2020-06-08,1511.0985,9976820.4729,9975309.3744,0.997682,10000000.0,1.0036
2020-06-09,1511.0985,10106629.9569,10105118.8584,1.010663,10000000.0,0.9977
2020-06-10,1511.0985,10201120.4409,10199609.3424,1.020112,10000000.0,1.0107
2020-06-11,1511.0985,10171704.4617,10170193.3632,1.01717,10000000.0,1.0201
2020-06-12,1511.0985,10223242.4097,10221731.3112,1.022324,10000000.0,1.0172
2020-06-15,1511.0985,10282464.3825,10280953.284,1.028246,10000000.0,1.0223
2020-06-16,1511.0985,10471950.2385,10470439.14,1.047195,10000000.0,1.0282
2020-06-17,1511.0985,10488176.5977,10486665.4992,1.048818,10000000.0,1.0472
2020-06-18,1511.0985,10497770.8593,10496259.7608,1.049777,10000000.0,1.0488
2020-06-19,1511.0985,10745200.7193,10743689.6208,1.07452,10000000.0,1.0498
2020-06-22,1511.0985,10853733.1113,10852222.0128,1.085373,10000000.0,1.0745
2020-06-23,1511.0985,11035154.1921,11033643.0936,1.103515,10000000.0,1.0854
2020-06-24,1511.0985,11037127.8873,11035616.7888,1.103713,10000000.0,1.1035
2020-06-29,1511.0985,10991099.2401,10989588.1416,1.09911,10000000.0,1.1037
2020-06-30,1511.0985,11295238.2129,11293727.1144,1.129524,10000000.0,1.0991
2020-07-01,1511.0985,11209234.4793,11207723.3808,1.120923,10000000.0,1.1295
2020-07-02,1511.0985,11231301.3273,11229790.2288,1.12313,10000000.0,1.1209
2020-07-03,1511.0985,11408100.1353,11406589.0368,1.14081,10000000.0,1.1231
2020-07-06,1511.0985,11718094.8825,11716583.784,1.171809,10000000.0,1.1408
2020-07-07,1511.0985,12004243.1673,12002732.0688,1.200424,10000000.0,1.1718
2020-07-08,1511.0985,12285433.3593,12283922.2608,1.228543,10000000.0,1.2004
2020-07-09,1511.0985,12774961.6473,12773450.5488,1.277496,10000000.0,1.2285
2020-07-10,1511.0985,12871322.5329,12869811.4344,1.287132,10000000.0,1.2775
2020-07-13,1511.0985,13385334.6465,13383823.548,1.338533,10000000.0,1.2871
2020-07-14,1511.0985,13242879.3393,13241368.2408,1.324288,10000000.0,1.3385
2020-07-15,1511.0985,13031608.2609,13030097.1624,1.303161,10000000.0,1.3243
2020-07-16,1511.0985,12258989.2713,12257478.1728,1.225899,10000000.0,1.3032
2020-07-17,1511.0985,12333759.0153,12332247.9168,1.233376,10000000.0,1.2259
2020-07-20,1511.0985,12495407.4777,12493896.3792,1.249541,10000000.0,1.2334
2020-07-21,1511.0985,12677033.7561,12675522.6576,1.267703,10000000.0,1.2495
2020-07-22,1511.0985,12827648.7945,12826137.696,1.282765,10000000.0,1.2677
2020-07-23,1511.0985,12969598.7505,12968087.652,1.29696,10000000.0,1.2828
2020-07-24,1511.0985,12173678.0217,12172166.9232,1.217368,10000000.0,1.297
2020-07-27,1511.0985,12191832.2193,12190321.1208,1.219183,10000000.0,1.2174
2020-07-28,1511.0985,12352837.7601,12351326.6616,1.235284,10000000.0,1.2192
2020-07-29,1511.0985,12820116.2361,12818605.1376,1.282012,10000000.0,1.2353
2020-07-30,1511.0985,12710021.9337,12708510.8352,1.271002,10000000.0,1.282
2020-07-31,1511.0985,12949802.9721,12948291.8736,1.29498,10000000.0,1.271
2020-08-03,1511.0985,13290172.9857,13288661.8872,1.329017,10000000.0,1.295
2020-08-04,1511.0985,13123247.7489,13121736.6504,1.312325,10000000.0,1.329
2020-08-05,1511.0985,13250149.7265,13248638.628,1.325015,10000000.0,1.3123
2020-08-06,1511.0985,13037690.0769,13036178.9784,1.303769,10000000.0,1.325
2020-08-07,1511.0985,12739294.7841,12737783.6856,1.273929,10000000.0,1.3038
2020-08-10,12669190.2007,12669190.2007,0.0,1.266919,10000000.0,1.2739
2020-08-11,12669190.2007,12669190.2007,0.0,1.266919,10000000.0,1.2669
2020-08-12,12669190.2007,12669190.2007,0.0,1.266919,10000000.0,1.2669
2020-08-13,12669190.2007,12669190.2007,0.0,1.266919,10000000.0,1.2669
2020-08-14,363.6631,12667163.5127,12666799.8496,1.266716,10000000.0,1.2669
2020-08-17,363.6631,12973117.8679,12972754.2048,1.297312,10000000.0,1.2667
2020-08-18,363.6631,12952299.2311,12951935.568,1.29523,10000000.0,1.2973
2020-08-19,363.6631,12796574.5191,12796210.856,1.279657,10000000.0,1.2952
2020-08-20,363.6631,12640090.2535,12639726.5904,1.264009,10000000.0,1.2797
2020-08-21,12737017.6516,12737017.6516,0.0,1.273702,10000000.0,1.264
2020-08-24,3656.8338,12734980.6398,12731323.806,1.273498,10000000.0,1.2737
2020-08-25,3656.8338,12784195.6158,12780538.782,1.27842,10000000.0,1.2735
2020-08-26,3656.8338,12676270.1613,12672613.3275,1.267627,10000000.0,1.2784
2020-08-27,3656.8338,12708309.1923,12704652.3585,1.270831,10000000.0,1.2676
2020-08-28,3656.8338,13027016.2758,13023359.442,1.302702,10000000.0,1.2708
2020-08-31,3656.8338,12956631.1488,12952974.315,1.295663,10000000.0,1.3027
2020-09-01,3656.8338,13004190.2853,13000533.4515,1.300419,10000000.0,1.2957
2020-09-02,3656.8338,13005357.7233,13001700.8895,1.300536,10000000.0,1.3004
2020-09-03,3656.8338,12952222.3788,12948565.545,1.295222,10000000.0,1.3005
2020-09-04,3656.8338,12810361.4778,12806704.644,1.281036,10000000.0,1.2952
2020-09-07,3656.8338,12593216.6673,12589559.8335,1.259322,10000000.0,1.281
2020-09-08,3656.8338,12687727.5933,12684070.7595,1.268773,10000000.0,1.2593
2020-09-09,3656.8338,12447129.8448,12443473.011,1.244713,10000000.0,1.2688
2020-09-10,12478891.4558,12478891.4558,0.0,1.247889,10000000.0,1.2447
2020-09-11,3834.5788,12476895.766,12473061.1872,1.24769,10000000.0,1.2479
