date,cash,transaction_cost,market_value,total_value
2013-01-04,1000108.89,0.0,98984053.661,99984162.551
2013-01-07,1000108.89,0.0,98980941.273,99981050.163
2013-01-08,1000108.89,0.0,98985609.855,99985718.745
2013-01-09,1000108.89,0.0,99015955.638,100016064.528
2013-01-10,987873.201,0.0,99031512.495,100019385.696
2013-01-11,987873.201,0.0,96903704.814,97891578.015
2013-01-14,987873.201,0.0,100889784.74,101877657.941
2013-01-15,987873.201,0.0,102453686.029,103441559.23
2013-01-16,987873.201,0.0,101156497.286,102144370.487
2013-01-17,983078.068,0.0,99954082.845,100937160.913
2013-01-18,983078.068,0.0,101445563.911,102428641.979
2013-01-21,983078.068,0.0,101980856.244,102963934.312
2013-01-22,983078.068,0.0,99780370.765,100763448.833
2013-01-23,983078.068,0.0,100274599.871,101257677.939
2013-01-24,983078.068,0.0,98377797.617,99360875.685
2013-01-25,983078.068,0.0,99496448.982,100479527.05
2013-01-28,983078.068,0.0,101947609.754,102930687.822
2013-01-29,983078.068,0.0,102300152.878,103283230.946
2013-01-30,983078.068,0.0,101946617.848,102929695.916
2013-01-31,983078.068,0.0,101748295.918,102731373.986
2013-02-01,983078.068,0.0,102184435.437,103167513.505
2013-02-04,983078.068,0.0,100582817.121,101565895.189
2013-02-05,983078.068,0.0,102067674.993,103050753.061
2013-02-06,983078.068,0.0,103429172.18,104412250.248
2013-02-07,975465.358,0.0,104249128.339,105224593.697
2013-02-08,975465.358,0.0,105045023.543,106020488.901
2013-02-18,975465.358,0.0,104105732.847,105081198.205
2013-02-19,975465.358,0.0,102940119.229,103915584.587
2013-02-20,975465.358,0.0,105236380.408,106211845.766
2013-02-21,959197.518,0.0,102246808.805,103206006.323
2013-02-22,959197.518,0.0,102262797.985,103221995.503
2013-02-25,959197.518,0.0,102254003.936,103213201.454
2013-02-26,959197.518,0.0,102246009.346,103205206.864
2013-02-27,959197.518,0.0,102225223.412,103184420.93
2013-02-28,944566.488,0.0,102208743.669,103153310.157
2013-03-01,944566.488,0.0,104466926.085,105411492.573
2013-03-04,944566.488,0.0,102297889.387,103242455.875
