,price,pe1,pb1,pe2,pb2,pe3,pb3,pe4,pb4
2011-08-02,3447.85,9.69,1.76,17.35,2.33,18.91,2.34,24.51,3.2
2011-08-03,3446.76,9.69,1.76,17.41,2.33,18.77,2.34,24.61,3.23
2011-08-04,3446.35,9.68,1.76,17.45,2.34,18.81,2.35,24.75,3.24
2011-08-05,3363.61,9.51,1.72,17.16,2.28,18.36,2.32,24.21,3.17
2011-08-08,3254.66,9.27,1.67,16.45,2.17,17.44,2.22,23.49,3.01
2011-08-09,3275.32,9.3,1.68,16.43,2.17,17.2,2.2,23.43,3.01
2011-08-10,3299.52,9.35,1.69,16.62,2.2,17.47,2.22,23.79,3.05
2011-08-11,3360.43,9.46,1.71,16.88,2.24,17.8,2.25,24.26,3.11
2011-08-12,3354.64,9.44,1.7,16.93,2.25,17.92,2.26,24.46,3.14
2011-08-15,3430.25,9.6,1.73,17.2,2.29,18.13,2.28,24.78,3.18
2011-08-16,3406.12,9.51,1.72,16.99,2.26,17.74,2.26,24.37,3.14
2011-08-17,3405.92,9.49,1.72,16.91,2.25,17.79,2.23,24.37,3.13
2011-08-18,3344.98,9.35,1.69,16.54,2.21,17.22,2.22,20.23,3.06
2011-08-19,3317.24,9.22,1.67,16.39,2.18,17.13,2.2,20.02,3.03
2011-08-22,3297.06,9.06,1.64,16.23,2.17,16.89,2.19,19.91,3.01
2011-08-23,3362.65,9.19,1.67,16.53,2.21,17.21,2.23,20.46,3.05
2011-08-24,3338.21,9.13,1.66,16.4,2.19,17.05,2.19,20.41,3.04
2011-08-25,3482.73,9.36,1.7,17.06,2.27,18.08,2.31,23.25,3.13
2011-08-26,3472.39,9.09,1.66,17.05,2.25,17.86,2.29,24.24,3.1
2011-08-29,3385.32,8.89,1.63,16.65,2.2,18.01,2.27,23.49,3.05
2011-08-30,3378.09,8.87,1.63,16.49,2.18,17.83,2.22,34.01,3.02
2011-08-31,3388.64,8.91,1.64,16.42,2.18,17.77,2.23,33.63,3.0
2011-09-01,3392.21,8.91,1.63,16.35,2.17,17.75,2.22,33.28,2.98
2011-09-02,3354.75,8.82,1.62,16.18,2.15,17.56,2.18,32.56,2.96
2011-09-05,3295.83,8.7,1.6,15.89,2.11,17.04,2.13,31.83,2.9
2011-09-06,3287.89,8.69,1.6,15.83,2.1,16.95,2.12,31.86,2.89
2011-09-07,3354.65,8.83,1.62,16.14,2.14,17.38,2.15,32.55,2.95
2011-09-08,3326.46,8.79,1.61,15.95,2.12,17.09,2.11,32.13,2.91
2011-09-09,3333.15,8.83,1.62,15.93,2.12,17.11,2.13,32.17,2.91
2011-09-13,3308.17,8.77,1.61,15.8,2.1,17.0,2.12,31.61,2.87
2011-09-14,3320.72,8.78,1.61,15.88,2.11,17.1,2.11,31.97,2.9
2011-09-15,3308.08,8.74,1.6,15.88,2.11,17.24,2.12,32.16,2.91
2011-09-16,3317.2,8.76,1.61,15.86,2.11,17.24,2.11,32.05,2.9
2011-09-19,3239.05,8.62,1.58,15.46,2.05,16.9,2.08,31.15,2.83
2011-09-20,3260.11,8.65,1.59,15.52,2.06,17.0,2.07,31.41,2.85
2011-09-21,3341.59,8.81,1.62,15.92,2.12,17.38,2.1,32.65,2.93
2011-09-22,3228.76,8.57,1.57,15.36,2.05,16.87,2.04,31.45,2.81
2011-09-23,3211.4,8.55,1.57,15.28,2.04,16.67,2.05,31.43,2.79
2011-09-26,3109.07,8.34,1.53,14.88,1.99,16.33,2.0,31.01,2.73
2011-09-27,3140.71,8.42,1.55,14.95,2.0,16.39,1.99,31.11,2.73
2011-09-28,3099.7,8.34,1.53,14.68,1.96,16.0,1.94,30.41,2.66
2011-09-29,3091.01,8.32,1.53,14.49,1.93,15.52,1.9,29.64,2.59
2011-09-30,3081.99,8.31,1.53,14.48,1.93,15.58,1.92,29.72,2.59
2011-10-10,3045.87,8.3,1.52,14.28,1.91,15.45,1.89,29.44,2.56
2011-10-11,3081.57,8.44,1.55,14.32,1.91,15.54,1.89,29.57,2.56
2011-10-12,3218.09,8.7,1.6,14.88,1.99,15.96,1.97,30.81,2.67
2011-10-13,3224.82,8.72,1.6,14.96,2.0,16.17,1.98,31.12,2.69
2011-10-14,3223.91,8.73,1.6,14.95,2.0,16.01,1.99,31.25,2.68
2011-10-17,3241.34,8.78,1.61,15.07,2.0,15.96,2.01,31.89,2.7
2011-10-18,3150.5,8.67,1.59,14.66,1.93,15.5,1.92,30.58,2.59
2011-10-19,3149.5,8.64,1.58,14.59,1.93,15.17,1.95,30.48,2.59
2011-10-20,3096.6,8.51,1.56,14.25,1.88,14.66,1.92,29.91,2.51
2011-10-21,3113.28,8.54,1.57,14.31,1.88,14.59,1.89,30.53,2.5
2011-10-24,3214.77,8.74,1.6,14.64,1.93,15.15,1.97,31.32,2.56
2011-10-25,3254.05,8.85,1.62,15.01,1.97,15.47,1.98,34.87,2.6
2011-10-26,3276.78,8.88,1.63,15.11,1.98,15.83,1.96,32.21,2.63
2011-10-27,3298.48,8.83,1.62,15.16,1.98,15.94,1.95,32.05,2.63
2011-10-28,3355.69,8.76,1.62,15.48,2.03,16.86,1.99,28.31,2.7
2011-10-31,3331.91,8.63,1.6,15.08,2.0,15.88,2.0,25.74,2.68
2011-11-01,3335.05,8.64,1.6,14.99,1.99,15.84,2.02,25.59,2.67
2011-11-02,3398.34,8.75,1.62,15.23,2.03,16.45,2.04,26.17,2.71
2011-11-03,3375.1,8.73,1.62,15.2,2.02,16.02,2.05,25.98,2.72
2011-11-04,3396.57,8.78,1.63,15.37,2.04,16.47,2.07,26.24,2.75
2011-11-07,3344.59,8.68,1.61,15.12,2.01,15.99,2.03,25.78,2.71
2011-11-08,3341.32,8.69,1.61,14.98,1.99,15.61,2.02,25.52,2.68
2011-11-09,3373.06,8.75,1.62,15.11,2.01,15.82,2.03,25.97,2.71
