,price,pe1,pb1,pe2,pb2,pe3,pb3,pe4,pb4
2006-12-27,2450.96,38.31,3.81,34.91,2.81,35.04,3.02,40.05,3.49
2006-12-28,2416.36,37.71,3.75,34.04,2.74,34.01,3.0,39.39,3.44
2006-12-29,2467.7,38.47,3.83,34.58,2.77,34.47,3.04,39.89,3.49
2007-01-04,2449.77,38.18,4.58,34.33,3.15,34.12,3.43,39.32,4.71
2007-01-05,2530.35,39.42,4.73,35.51,3.26,35.0,3.6,40.52,4.86
2007-01-08,2587.86,40.27,4.83,36.56,3.36,36.11,3.71,41.66,5.02
2007-01-09,2615.61,40.75,4.89,37.02,3.4,36.23,3.78,42.28,5.08
2007-01-10,2661.63,41.39,4.97,37.89,3.48,37.07,3.8,43.1,5.17
2007-01-11,2679.71,41.66,5.0,37.89,3.48,37.05,3.79,43.21,5.18
2007-01-12,2613.11,40.64,4.88,36.52,3.36,35.59,3.71,41.67,5.0
2007-01-15,2756.58,42.86,5.14,38.25,3.52,37.27,3.87,43.58,5.24
2007-01-16,2879.58,44.66,5.36,39.4,3.61,38.52,3.93,44.93,5.44
2007-01-17,2868.18,44.43,5.33,39.21,3.6,39.33,3.98,44.65,5.44
2007-01-18,2982.41,46.01,5.48,40.62,3.71,40.59,4.15,46.17,5.52
2007-01-19,3127.38,48.22,5.74,41.89,3.82,42.12,4.19,47.9,5.72
2007-01-22,3298.21,50.84,6.05,43.86,3.98,43.61,4.33,50.1,5.98
2007-01-23,3229.45,49.88,5.94,43.37,3.96,44.26,4.39,49.58,5.9
2007-01-24,3258.06,50.29,5.99,43.43,3.97,43.34,4.32,49.84,5.92
2007-01-25,3125.91,48.26,5.73,41.33,3.78,40.96,4.12,47.48,5.61
2007-01-26,3134.63,48.43,5.73,41.53,3.77,41.35,4.17,47.75,5.64
2007-01-29,3183.05,49.65,5.86,43.29,3.92,43.56,4.39,49.93,5.82
2007-01-30,3230.92,49.97,5.93,42.94,3.9,43.26,4.35,49.79,5.81
2007-01-31,3079.81,47.48,5.64,41.2,3.74,40.83,4.15,47.6,5.55
2007-02-01,3131.19,48.24,5.73,41.69,3.77,41.62,4.18,47.99,5.61
2007-02-02,3087.21,47.42,5.57,41.22,3.72,41.61,4.17,47.24,5.49
2007-02-05,3074.82,47.32,5.56,41.7,3.77,42.5,4.22,47.64,5.53
2007-02-06,3079.29,47.34,5.57,42.38,3.84,43.09,4.31,49.75,5.57
2007-02-07,3096.16,47.62,5.6,42.64,3.86,43.73,4.34,50.16,5.61
2007-02-08,3117.76,47.98,5.59,43.05,3.87,43.94,4.36,50.7,5.64
2007-02-09,3124.28,48.03,5.52,43.05,3.81,44.15,4.29,50.82,5.54
2007-02-12,3219.97,49.55,5.67,44.13,3.89,44.28,4.37,56.71,5.61
2007-02-13,3262.26,49.87,5.64,44.2,3.87,45.02,4.18,57.07,5.5
2007-02-14,3302.82,50.12,5.63,44.64,3.87,45.86,4.25,57.63,5.44
2007-02-15,3375.29,50.51,5.65,45.37,3.91,46.4,4.36,58.24,5.47
2007-02-16,3395.53,50.71,5.63,45.78,3.93,47.97,4.38,58.82,5.43
2007-02-26,3424.48,51.17,5.68,47.2,4.08,49.25,4.52,60.71,5.53
2007-02-27,3102.62,45.8,5.05,42.83,3.66,44.4,3.9,59.67,4.81
2007-02-28,3178.46,44.85,4.9,43.45,3.71,44.38,4.06,68.64,4.7
2007-03-01,3103.45,43.72,4.78,42.04,3.61,42.58,3.95,66.31,4.55
2007-03-02,3159.37,44.46,4.86,43.01,3.69,43.76,3.99,67.85,4.65
2007-03-05,3171.5,44.56,4.86,43.31,3.73,43.41,4.06,69.2,4.66
2007-03-06,3195.75,44.92,4.9,43.5,3.75,43.72,4.16,71.11,4.69
2007-03-07,3300.22,46.41,5.07,44.58,3.84,44.99,4.24,72.53,4.86
2007-03-08,3361.17,47.26,5.16,45.42,3.92,45.49,4.34,74.92,4.98
2007-03-09,3333.14,46.9,5.12,45.24,3.92,44.81,4.31,75.29,4.96
2007-03-12,3369.28,47.36,5.18,45.85,3.99,44.98,4.34,75.79,5.01
2007-03-13,3367.88,47.26,5.16,46.08,4.01,45.66,4.32,75.71,5.01
2007-03-14,3343.65,46.94,5.12,45.88,3.98,46.22,4.25,77.42,4.98
2007-03-15,3419.77,48.0,5.24,46.87,4.07,46.65,4.32,78.52,5.09
2007-03-16,3394.81,47.63,5.2,46.35,4.01,45.5,4.19,77.91,5.04
